Audio_Id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Album_Name,Album_Type,Album_Total_Tracks,Album_Popularity,Year,Month,Day,Track_Name,Track_Popularity,Duration,Track_Number,Disc Number,Artist_Name,Artist_Followers,Artist_Popularity
1585,0.67,0.955,1.0,-4.979,1.0,0.0858,0.289,0.0,0.124,0.857,122.975,4.0,The Power (15 Year Anniversary Re-Issue),album,20,46,2004,4,3,Absolutely Everybody,51,224600,2,1,Vanessa Amorosi,74642,44
1586,0.796,0.798,1.0,-6.312,1.0,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,4.0,Cold Heart (PNAU Remix),single,1,73,2021,8,13,Cold Heart - PNAU Remix,78,202735,1,1,Elton John,14155119,85
1587,0.655,0.699,11.0,-4.421,1.0,0.0493,0.0352,0.0,0.064,0.802,86.704,4.0,Made In The A.M. (Deluxe Edition),album,17,84,2015,11,13,History,73,187426,13,1,One Direction,37973143,89
1588,0.632,0.595,8.0,-7.644,0.0,0.0401,0.0689,0.0,0.209,0.435,124.114,4.0,Paradise,single,1,60,2020,10,30,Paradise (feat. Dermot Kennedy),65,167903,1,1,MEDUZA,850205,75
1589,0.747,0.73,11.0,-8.028,0.0,0.0512,0.239,0.014,0.39,0.547,119.998,4.0,I Don't Wanna Know,single,1,21,2020,9,30,I Don't Wanna Know,27,180522,1,1,Silience,4446,37
1590,0.675,0.602,11.0,-4.733,0.0,0.116,0.00377,0.0,0.0458,0.933,127.938,4.0,One More Love,album,28,63,2010,11,22,Who's That Chick? (feat. Rihanna),56,201040,1,2,David Guetta,26562901,90
1591,0.629,0.807,6.0,-4.255,1.0,0.0371,0.204,0.0,0.252,0.493,122.997,4.0,Stoney (Deluxe),album,18,50,2016,12,9,Congratulations,50,220293,12,1,Post Malone,46042840,90
1592,0.473,0.604,7.0,-4.034,1.0,0.0337,0.0376,0.0,0.103,0.271,123.848,4.0,"Glee: The Music, Volume 1",album,17,58,2009,11,2,Don't Stop Believin' (Glee Cast Version) - Cover of Journey,51,232000,1,1,Glee Cast,1525421,74
1593,0.559,0.422,11.0,-11.89,1.0,0.195,0.701,1.99e-06,0.0853,0.191,74.002,4.0,Malibu Nights,album,9,74,2018,10,5,Malibu Nights,72,286928,9,1,LANY,6310338,79
1594,0.199,0.215,9.0,-15.643,1.0,0.0285,0.619,1.79e-06,0.112,0.118,67.958,4.0,Help Yourself,album,12,33,1991,1,1,Saltwater,38,247093,2,1,Julian Lennon,90184,40
